iter	Logloss
0	0.6531101374
1	0.6168588957
2	0.5842767852
3	0.5538593834
4	0.5288578232
5	0.5062443554
6	0.4840896134
7	0.4656888094
8	0.4476776287
9	0.4306946616
10	0.4152940196
11	0.4014281139
12	0.3903305257
13	0.3793854826
14	0.3697134242
15	0.3605640653
16	0.3537275854
17	0.3452021523
18	0.3362962868
19	0.3286419395
20	0.3224126772
21	0.317247948
22	0.3115941165
23	0.3062249068
24	0.301762568
25	0.2975319918
26	0.2925019327
27	0.2874172649
28	0.282701246
29	0.2782956678
30	0.2739336311
31	0.2704953126
32	0.2658199469
33	0.2621157097
34	0.2589215955
35	0.2557370369
36	0.2527270943
37	0.2499068248
38	0.2471478051
39	0.2442025388
40	0.2419217348
41	0.2397826487
42	0.2362680613
43	0.2346987065
44	0.2315584519
45	0.2297060467
46	0.2274749008
47	0.224645394
48	0.222283347
49	0.2208633454
50	0.2179996384
51	0.2155809391
52	0.213625278
53	0.2114433986
54	0.2093614587
55	0.2071872505
56	0.2050769903
57	0.2027317799
58	0.2011358513
59	0.1998441489
60	0.1985093119
61	0.197001086
62	0.195274043
63	0.1936644408
64	0.1915490717
65	0.1902633482
66	0.1882091861
67	0.1860318928
68	0.1841205283
69	0.1828295157
70	0.1811567349
71	0.1798337721
72	0.1786073985
73	0.1772647928
74	0.1762702941
75	0.1747219553
76	0.1735429914
77	0.1725707924
78	0.1715969374
79	0.1703254036
80	0.1691455139
81	0.1678235059
82	0.1663705511
83	0.1647988267
84	0.1636202539
85	0.161883162
86	0.1609748775
87	0.1597544943
88	0.1589945949
89	0.1576404368
90	0.1563120311
91	0.1553075009
92	0.1539933382
93	0.1529759364
94	0.1516426283
95	0.1502430223
96	0.1492991624
97	0.1481049521
98	0.1469511478
99	0.1458446484
100	0.1449332143
101	0.1435253863
102	0.1423895631
103	0.1413140439
104	0.1405742051
105	0.1398005093
106	0.139201504
107	0.1382131742
108	0.1373666541
109	0.1366898005
110	0.1360961836
111	0.1352844203
112	0.1343983044
113	0.1334697199
114	0.1325989626
115	0.131552433
116	0.1308185105
117	0.1301219411
118	0.129032434
119	0.1282911446
120	0.1275049578
121	0.1264570457
122	0.1258249004
123	0.1251393114
124	0.1242855949
125	0.1234938168
126	0.1224241364
127	0.1219203738
128	0.1210744869
129	0.1200750538
130	0.1194887921
131	0.1189354951
132	0.1182571805
133	0.1175557848
134	0.1169302846
135	0.1160436639
136	0.1152091472
137	0.114574809
138	0.1134437303
139	0.1127359686
140	0.1117394845
141	0.1110443972
142	0.1105442736
143	0.109976531
144	0.1095060115
145	0.1089155753
146	0.1082944844
147	0.1075579501
148	0.106849069
149	0.1064650342
150	0.105713271
151	0.1053117624
152	0.1046162614
153	0.1039590091
154	0.1034423838
155	0.1028948758
156	0.1021547044
157	0.1016233152
158	0.101244065
159	0.1008052093
160	0.1004698031
161	0.10000335
162	0.09948709575
163	0.09897685512
164	0.09863813716
165	0.09772422359
166	0.097201487
167	0.09672223411
168	0.09594019538
169	0.09551336968
170	0.09476460673
171	0.09413340847
172	0.09365410662
173	0.09302742483
174	0.09269825271
175	0.09219074781
176	0.09156747864
177	0.09108693432
178	0.09044122921
179	0.09017221163
180	0.08965821036
181	0.0891209023
182	0.08869734798
183	0.08777227596
184	0.08722410052
185	0.08670176203
186	0.086239563
187	0.08567165035
188	0.08518901145
189	0.08482832225
190	0.08441286726
191	0.08417344385
192	0.08378366199
193	0.08311348997
194	0.08260650145
195	0.0819574904
196	0.08125981812
197	0.08056361314
198	0.08022109683
199	0.08009213486
200	0.07945002464
201	0.07894526898
202	0.07844598543
203	0.07779739413
204	0.07743530106
205	0.0770002414
206	0.07644993607
207	0.0761406153
208	0.07554911091
209	0.07511065873
210	0.07461432178
211	0.07428266416
212	0.07373264753
213	0.07343026492
214	0.07313599597
215	0.07246423394
216	0.07201267053
217	0.07139274662
218	0.07083867148
219	0.07052250867
220	0.07014577563
221	0.06995350124
222	0.06939371878
223	0.06902894955
224	0.06858482518
225	0.0683904151
226	0.06829516241
227	0.0679269457
228	0.06758654702
229	0.0673310454
230	0.06700937185
231	0.06665556156
232	0.06623091283
233	0.06596420063
234	0.06553114897
235	0.06520969234
236	0.06472251868
237	0.0642639459
238	0.06404025036
239	0.06378285982
240	0.06346210109
241	0.06311090328
242	0.06283295908
243	0.0625165829
244	0.0619816803
245	0.06172468147
246	0.06132956675
247	0.06083816404
248	0.06055258307
249	0.0601973998
250	0.0599152488
251	0.05949731976
252	0.05932396385
253	0.05927071426
254	0.05889612197
255	0.05848127754
256	0.05793575827
257	0.05750484258
258	0.05711381827
259	0.05687749441
260	0.05659489819
261	0.05634924731
262	0.05613320116
263	0.05584517198
264	0.05565944122
265	0.05538513045
266	0.05515032971
267	0.05495954953
268	0.05475086499
269	0.05455637808
270	0.05438704503
271	0.05413109286
272	0.05387558382
273	0.05360623717
274	0.05336812719
275	0.05319622071
276	0.05299923457
277	0.05245499742
278	0.05220747519
279	0.0519919609
280	0.05167973912
281	0.05137072855
282	0.05089943701
283	0.05065087297
284	0.0503860301
285	0.04994738827
286	0.04977019277
287	0.04955297909
288	0.04926971177
289	0.04910335999
290	0.0487866711
291	0.04856830202
292	0.04828613012
293	0.04802618068
294	0.04777622581
295	0.0474805323
296	0.0472267333
297	0.04707769019
298	0.04688735205
299	0.0468142866
300	0.04664833365
301	0.04643709679
302	0.04621466054
303	0.04606174345
304	0.04587193977
305	0.04553931716
306	0.04528383239
307	0.0452455866
308	0.04499627244
309	0.04479535072
310	0.04452780057
311	0.04430006256
312	0.04403982646
313	0.04360848707
314	0.0433727578
315	0.04314696869
316	0.04300612385
317	0.04279460041
318	0.04265478697
319	0.0425702122
320	0.04237666929
321	0.04218020092
322	0.04206537331
323	0.04193241026
324	0.04181379811
325	0.04165778944
326	0.04135716051
327	0.0412315889
328	0.04101627089
329	0.04085687811
330	0.04053741731
331	0.04038188979
332	0.0402693448
333	0.04013936898
334	0.03991223942
335	0.03972096646
336	0.03962340222
337	0.03954817566
338	0.03938132902
339	0.03920286874
340	0.03897376273
341	0.03881046793
342	0.03862419239
343	0.03849983157
344	0.038294933
345	0.03810000711
346	0.03807304053
347	0.0379394199
348	0.03790439799
349	0.03771635142
350	0.03751525568
